2025-02-24 22:59:32,296 - fastapi_app - INFO - successfully connected to the postgres.........
2025-02-24 23:10:35,230 - fastapi_app - INFO - successfully connected to the postgres.........: <built-in method fetchall of psycopg2.extensions.cursor object at 0x000001D32AC4BCA0>
2025-02-24 23:11:04,880 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:05,026 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:05,153 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:05,269 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:05,395 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:05,526 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:05,721 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:05,885 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:06,104 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:06,273 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:06,392 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:06,486 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:06,576 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:06,669 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:06,863 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:07,071 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:07,214 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:07,344 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
